[14/07/2025 10:15:08] -> #ID:1 |Cliente:Pedro |Valor:R$117,00 |Imposto:R$1,76 |Frete:R$25,85 |Total:R$144,61
[14/07/2025 10:24:01] -> #ID:1 |Cliente:Fernando |Valor:R$86,00 |Imposto:R$1,29 |Frete:R$24,30 |Total:R$111,59
[14/07/2025 10:24:03] -> #ID:2 |Cliente:Pedro |Valor:R$195,00 |Imposto:R$2,93 |Frete:R$29,75 |Total:R$227,68
[14/07/2025 10:24:05] -> #ID:3 |Cliente:Joana |Valor:R$315,00 |Imposto:R$4,73 |Frete:R$35,75 |Total:R$355,48
[14/07/2025 10:24:07] -> #ID:4 |Cliente:Marina |Valor:R$340,00 |Imposto:R$5,10 |Frete:R$37,00 |Total:R$382,10
[14/07/2025 10:24:09] -> #ID:5 |Cliente:Joana |Valor:R$488,00 |Imposto:R$7,32 |Frete:R$44,40 |Total:R$539,72
[14/07/2025 10:24:11] -> #ID:6 |Cliente:Marina |Valor:R$183,00 |Imposto:R$2,75 |Frete:R$29,15 |Total:R$214,90
[14/07/2025 10:24:13] -> #ID:7 |Cliente:Joana |Valor:R$445,00 |Imposto:R$6,68 |Frete:R$42,25 |Total:R$493,93
[14/07/2025 10:24:15] -> #ID:8 |Cliente:Marina |Valor:R$182,00 |Imposto:R$2,73 |Frete:R$29,10 |Total:R$213,83
[14/07/2025 10:24:17] -> #ID:9 |Cliente:Marina |Valor:R$379,00 |Imposto:R$5,69 |Frete:R$38,95 |Total:R$423,64
[14/07/2025 10:25:59] -> #ID:1 |Cliente:Joana |Valor:R$494,00 |Imposto:R$7,41 |Frete:R$44,70 |Total:R$546,11
[14/07/2025 10:26:02] -> #ID:2 |Cliente:Marina |Valor:R$370,00 |Imposto:R$5,55 |Frete:R$38,50 |Total:R$414,05
[14/07/2025 10:26:04] -> #ID:3 |Cliente:Pedro |Valor:R$172,00 |Imposto:R$2,58 |Frete:R$28,60 |Total:R$203,18
[14/07/2025 10:26:06] -> #ID:4 |Cliente:Joana |Valor:R$135,00 |Imposto:R$2,03 |Frete:R$26,75 |Total:R$163,78
[14/07/2025 10:26:08] -> #ID:5 |Cliente:Pedro |Valor:R$472,00 |Imposto:R$7,08 |Frete:R$43,60 |Total:R$522,68
[14/07/2025 10:26:10] -> #ID:6 |Cliente:Joana |Valor:R$71,00 |Imposto:R$1,07 |Frete:R$23,55 |Total:R$95,62
[14/07/2025 10:26:12] -> #ID:7 |Cliente:Pedro |Valor:R$374,00 |Imposto:R$5,61 |Frete:R$38,70 |Total:R$418,31
[14/07/2025 10:26:14] -> #ID:8 |Cliente:Marina |Valor:R$61,00 |Imposto:R$0,91 |Frete:R$23,05 |Total:R$84,97
[14/07/2025 10:26:16] -> #ID:9 |Cliente:Marina |Valor:R$391,00 |Imposto:R$5,87 |Frete:R$39,55 |Total:R$436,42
[14/07/2025 10:27:42] -> #ID:1 |Cliente:Marina |Valor:R$225,00 |Imposto:R$3,38 |Frete:R$31,25 |Total:R$259,63
[14/07/2025 10:27:45] -> #ID:2 |Cliente:Pedro |Valor:R$228,00 |Imposto:R$3,42 |Frete:R$31,40 |Total:R$262,82
[14/07/2025 10:27:47] -> #ID:3 |Cliente:Pedro |Valor:R$398,00 |Imposto:R$5,97 |Frete:R$39,90 |Total:R$443,87
[14/07/2025 10:27:49] -> #ID:4 |Cliente:Joana |Valor:R$290,00 |Imposto:R$4,35 |Frete:R$34,50 |Total:R$328,85
[14/07/2025 10:27:52] -> #ID:5 |Cliente:Marina |Valor:R$232,00 |Imposto:R$3,48 |Frete:R$31,60 |Total:R$267,08
[14/07/2025 10:27:54] -> #ID:6 |Cliente:Marina |Valor:R$168,00 |Imposto:R$2,52 |Frete:R$28,40 |Total:R$198,92
[14/07/2025 10:27:57] -> #ID:7 |Cliente:Pedro |Valor:R$325,00 |Imposto:R$4,88 |Frete:R$36,25 |Total:R$366,13
[14/07/2025 10:27:59] -> #ID:8 |Cliente:Fernando |Valor:R$77,00 |Imposto:R$1,16 |Frete:R$23,85 |Total:R$102,01
[14/07/2025 10:32:28] -> #ID:1 |Cliente:Joana |Valor:R$111,00 |Imposto:R$1,67 |Frete:R$25,55 |Total:R$138,22
[14/07/2025 10:32:30] -> #ID:2 |Cliente:Pedro |Valor:R$397,00 |Imposto:R$5,96 |Frete:R$39,85 |Total:R$442,81
[14/07/2025 10:32:32] -> #ID:3 |Cliente:Pedro |Valor:R$247,00 |Imposto:R$3,71 |Frete:R$32,35 |Total:R$283,06
[14/07/2025 10:32:34] -> #ID:4 |Cliente:Joana |Valor:R$432,00 |Imposto:R$6,48 |Frete:R$41,60 |Total:R$480,08
[14/07/2025 10:32:36] -> #ID:5 |Cliente:Joana |Valor:R$147,00 |Imposto:R$2,21 |Frete:R$27,35 |Total:R$176,56
[14/07/2025 10:32:39] -> #ID:6 |Cliente:Joana |Valor:R$327,00 |Imposto:R$4,91 |Frete:R$36,35 |Total:R$368,26
[14/07/2025 10:32:42] -> #ID:7 |Cliente:Marina |Valor:R$432,00 |Imposto:R$6,48 |Frete:R$41,60 |Total:R$480,08
[14/07/2025 10:32:44] -> #ID:8 |Cliente:Joana |Valor:R$434,00 |Imposto:R$6,51 |Frete:R$41,70 |Total:R$482,21
[14/07/2025 10:45:22] -> #ID:1 |Cliente:Fernando |Valor:R$259,00 |Imposto:R$3,89 |Frete:R$32,95 |Total:R$295,84
[14/07/2025 10:45:25] -> #ID:2 |Cliente:Fernando |Valor:R$329,00 |Imposto:R$4,94 |Frete:R$36,45 |Total:R$370,39
[14/07/2025 10:45:27] -> #ID:3 |Cliente:Joana |Valor:R$408,00 |Imposto:R$6,12 |Frete:R$40,40 |Total:R$454,52
[14/07/2025 10:45:29] -> #ID:4 |Cliente:Marina |Valor:R$393,00 |Imposto:R$5,90 |Frete:R$39,65 |Total:R$438,54
[14/07/2025 10:45:31] -> #ID:5 |Cliente:Fernando |Valor:R$307,00 |Imposto:R$4,60 |Frete:R$35,35 |Total:R$346,96
[14/07/2025 10:45:34] -> #ID:6 |Cliente:Fernando |Valor:R$438,00 |Imposto:R$6,57 |Frete:R$41,90 |Total:R$486,47
[14/07/2025 10:45:36] -> #ID:7 |Cliente:Fernando |Valor:R$498,00 |Imposto:R$7,47 |Frete:R$44,90 |Total:R$550,37
[14/07/2025 10:45:38] -> #ID:8 |Cliente:Marina |Valor:R$365,00 |Imposto:R$5,48 |Frete:R$38,25 |Total:R$408,73
[14/07/2025 10:45:40] -> #ID:9 |Cliente:Fernando |Valor:R$228,00 |Imposto:R$3,42 |Frete:R$31,40 |Total:R$262,82
